D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Five To Nine\00_20_32_Applejack_Happy Singing___My friends along..flac|Applejack|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Five To Nine\00_20_32_Applejack_Happy Singing___My friends along..txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_19_40_Pinkie_Happy Singing___Bright!.flac|Pinkie|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_19_40_Pinkie_Happy Singing___Bright!.txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Run And Break Free\00_28_07_Rainbow_Happy Singing___My spirit's a fighter.flac|Rainbow|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Run And Break Free\00_28_07_Rainbow_Happy Singing___My spirit's a fighter.txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p300\p300_144_mic1.flac|p300|Since then, my life has been turned upside down.
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p299\p299_063_mic1.flac|p299|It was, for me, like a week in heaven.
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p300\p300_105_mic1.flac|p300|People just came on their own.
D:\MEGASyncDownloads\Master file 2\Songs\00_10_42_Pinkie_Happy Singing__We may be divided, But of you all I beg..flac|Pinkie|D:\MEGASyncDownloads\Master file 2\Songs\00_10_42_Pinkie_Happy Singing__We may be divided, But of you all I beg.txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p234\p234_348_mic1.flac|p234|The answer was in space.
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Five To Nine\00_23_32_Applejack_Happy Singing___Friends..flac|Applejack|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Five To Nine\00_23_32_Applejack_Happy Singing___Friends..txt
D:\MEGASyncDownloads\Master file 2\Songs\00_05_42_Pinkie_Happy Singing_Noisy_Add a little more and you count to four, And you never get your fill #of#..flac|Pinkie|D:\MEGASyncDownloads\Master file 2\Songs\00_05_42_Pinkie_Happy Singing_Noisy_Add a little more and you count to four, And you never get your fill #of#.txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\All Good\00_00_24_Applejack_Happy Singing___I feel abso-absolutely amazing!.flac|Applejack|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\All Good\00_00_24_Applejack_Happy Singing___I feel abso-absolutely amazing!.txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p299\p299_137_mic1.flac|p299|They can be time consuming.
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p300\p300_113_mic1.flac|p300|Look at them after three days of rain.
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p299\p299_097_mic1.flac|p299|He is a man who lives to work.
D:\MEGASyncDownloads\Master file 2\Songs\02_37_15_Pinkie_Happy Singing__Just trust your heart it will know what to #do#..flac|Pinkie|D:\MEGASyncDownloads\Master file 2\Songs\02_37_15_Pinkie_Happy Singing__Just trust your heart it will know what to #do#.txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p299\p299_306_mic1.flac|p299|They chose to side with terror.
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\True Original\00_09_47_Pinkie_Happy Singing___Free yourself!.flac|Pinkie|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\True Original\00_09_47_Pinkie_Happy Singing___Free yourself!.txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p299\p299_129_mic1.flac|p299|The case will now go to appeal.
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_23_48_Pinkie_Happy Singing___Let's get the show on the road!.flac|Pinkie|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_23_48_Pinkie_Happy Singing___Let's get the show on the road!.txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Five To Nine\00_16_37_Applejack_Happy Singing___Most people dread-.flac|Applejack|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Five To Nine\00_16_37_Applejack_Happy Singing___Most people dread-.txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p299\p299_286_mic1.flac|p299|They must act now to tighten the rules.
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\I'm On A Yacht\00_20_15_Rainbow_Happy Singing_Noisy__xclusively we're..flac|Rainbow|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\I'm On A Yacht\00_20_15_Rainbow_Happy Singing_Noisy__xclusively we're..txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_20_43_Pinkie_Rap Singing___Work_.flac|Pinkie|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_20_43_Pinkie_Rap Singing___Work_.txt
D:\MEGASyncDownloads\Master file 2\Songs\00_53_44_Pinkie_Happy Singing__Hands wave up, Then come down, We party together All around..flac|Pinkie|D:\MEGASyncDownloads\Master file 2\Songs\00_53_44_Pinkie_Happy Singing__Hands wave up, Then come down, We party together All around.txt
D:\MEGASyncDownloads\Master file 2\Songs\03_25_33_Applejack_Happy Singing__Keepin' busy is keepin' good, Keep on goin' just like you should..flac|Applejack|D:\MEGASyncDownloads\Master file 2\Songs\03_25_33_Applejack_Happy Singing__Keepin' busy is keepin' good, Keep on goin' just like you should.txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Let It Rain\00_01_39_Sunset Shimmer_Neutral___Haha, there's-.flac|Sunset Shimmer|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Let It Rain\00_01_39_Sunset Shimmer_Neutral___Haha, there's-.txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p234\p234_268_mic1.flac|p234|Then was the summer of their discontent.
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\True Original\00_09_38_Pinkie_Happy Singing___True, true, original, dare to be..flac|Pinkie|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\True Original\00_09_38_Pinkie_Happy Singing___True, true, original, dare to be..txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p226\p226_263_mic1.flac|p226|I would have the hammer in the crowd.
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p300\p300_383_mic1.flac|p300|Even then he was in the media spotlight.
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_46_47_Sunset Shimmer_Happy Singing___Shinin' like gold!.flac|Sunset Shimmer|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_46_47_Sunset Shimmer_Happy Singing___Shinin' like gold!.txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Let It Rain\00_16_26_Sunset Shimmer_Happy Singing___Let it rain..flac|Sunset Shimmer|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Let It Rain\00_16_26_Sunset Shimmer_Happy Singing___Let it rain..txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p234\p234_279_mic1.flac|p234|However, no further action was taken by police.
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Run And Break Free\00_11_19_Rainbow_Happy Singing___I choose my path, I choose my dreams..flac|Rainbow|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Run And Break Free\00_11_19_Rainbow_Happy Singing___I choose my path, I choose my dreams..txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p225\p225_013_mic1.flac|p225|Some have accepted it as a miracle without physical explanation.
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\All Good\00_08_59_Rainbow_Happy Singing___You bring it, you....flac|Rainbow|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\All Good\00_08_59_Rainbow_Happy Singing___You bring it, you....txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\I'm On A Yacht\00_18_23_Rainbow_Happy Singing_Noisy__Hey, hey, hey, hands in the air..flac|Rainbow|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\I'm On A Yacht\00_18_23_Rainbow_Happy Singing_Noisy__Hey, hey, hey, hands in the air..txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Five To Nine\00_09_45_Applejack_Happy Singing___A job well done by the break of dawn!.flac|Applejack|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Five To Nine\00_09_45_Applejack_Happy Singing___A job well done by the break of dawn!.txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p300\p300_301_mic1.flac|p300|He was then replaced by Ross.
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\All Good\00_32_20_Rarity_Happy Singing___Cause it's all, all, all, all good!.flac|Rarity|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\All Good\00_32_20_Rarity_Happy Singing___Cause it's all, all, all, all good!.txt
D:\MEGASyncDownloads\Master file 2\Songs\00_21_33_Rainbow_Happy_Noisy_And may the best pet win!.flac|Rainbow|D:\MEGASyncDownloads\Master file 2\Songs\00_21_33_Rainbow_Happy_Noisy_And may the best pet win!.txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p300\p300_340_mic1.flac|p300|Well, was it?
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p299\p299_013_mic1.flac|p299|Some have accepted it as a miracle without physical explanation.
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p299\p299_293_mic1.flac|p299|It was not a difficult decision, he said.
D:\MEGASyncDownloads\Master file 2\Songs\00_30_23_Pinkie_Happy Singing_Noisy_I give a smile I get a smile, And that's so special to me..flac|Pinkie|D:\MEGASyncDownloads\Master file 2\Songs\00_30_23_Pinkie_Happy Singing_Noisy_I give a smile I get a smile, And that's so special to me.txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Broadcast Stems\Fit Right In\00_02_06_Rarity_Happy Singing___Right..flac|Rarity|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Broadcast Stems\Fit Right In\00_02_06_Rarity_Happy Singing___Right..txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_20_15_Pinkie_Happy Singing___Right now!.flac|Pinkie|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_20_15_Pinkie_Happy Singing___Right now!.txt
D:\MEGASyncDownloads\Master file 2\Songs\00_30_04_Pinkie_Happy Singing_Noisy_There's one thing that makes me happy and makes my whole life worth #while#..flac|Pinkie|D:\MEGASyncDownloads\Master file 2\Songs\00_30_04_Pinkie_Happy Singing_Noisy_There's one thing that makes me happy and makes my whole life worth #while#.txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_39_15_Rarity_Happy Singing___Light up our dreams!.flac|Rarity|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_39_15_Rarity_Happy Singing___Light up our dreams!.txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p226\p226_178_mic1.flac|p226|Mr Docherty said the whole family was shocked.
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_20_54_Pinkie_Rap Singing___One shot..flac|Pinkie|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_20_54_Pinkie_Rap Singing___One shot..txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p226\p226_122_mic1.flac|p226|Mr Chisholm said the move was made on the advice of consultants.
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\All Good\00_15_23_Rainbow_Happy Singing___Cause it's all, all, all, all good!.flac|Rainbow|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\All Good\00_15_23_Rainbow_Happy Singing___Cause it's all, all, all, all good!.txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p226\p226_244_mic1.flac|p226|It is linked to the row over proposed changes at Scottish Ballet.
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Five To Nine\00_28_12_Applejack_Happy Singing___Keepin' busy is keepin' good..flac|Applejack|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Five To Nine\00_28_12_Applejack_Happy Singing___Keepin' busy is keepin' good..txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Let It Rain\00_03_56_Sunset Shimmer_Happy Singing___Oh, I..flac|Sunset Shimmer|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Let It Rain\00_03_56_Sunset Shimmer_Happy Singing___Oh, I..txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p300\p300_151_mic1.flac|p300|That would be poetic, wouldn't it?
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p300\p300_067_mic1.flac|p300|If convicted, they face the death penalty.
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_38_14_Rarity_Happy Singing___We can do anything!.flac|Rarity|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_38_14_Rarity_Happy Singing___We can do anything!.txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p299\p299_335_mic1.flac|p299|He also was in debt to drug dealers.
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p234\p234_252_mic1.flac|p234|It was far from business as usual.
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\I'm On A Yacht\00_34_13_Sunset Shimmer_Rap Singing_Noisy__Now she's got a burn and a serious frown..flac|Sunset Shimmer|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\I'm On A Yacht\00_34_13_Sunset Shimmer_Rap Singing_Noisy__Now she's got a burn and a serious frown..txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p300\p300_216_mic1.flac|p300|Jimmy returned to Aberdeen, but she remained with George.
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_06_48_Applejack_Rap Singing___See that dream!.flac|Applejack|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_06_48_Applejack_Rap Singing___See that dream!.txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p300\p300_253_mic1.flac|p300|A management agreement, however, was conceded.
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p299\p299_387_mic1.flac|p299|Mary is, as it were, the cause of her mother's death.
