Speaker ID,Sample Count,Intensity STD,Mean Intensity
10012,507,0.6854,4.2168
10179,688,0.5184,3.7725
102,3126,0.6925,4.8114
10252,1083,0.5057,3.9000
10426,736,0.6997,4.4355
10431,351,0.4493,3.6956
10565,154,0.4036,3.2579
10584,204,0.8146,4.2275
1060,656,0.5863,3.5166
1061,893,0.5705,3.9860
10644,495,0.6987,4.1863
10756,304,0.7723,4.0337
10829,421,0.5424,3.7759
10987,509,0.4322,3.5584
114,231,0.6826,4.4289
1158,434,0.5775,4.0023
120,609,0.7452,4.4063
1272,281,0.6901,3.2834
1278,203,0.4965,3.8012
128,1789,0.6587,3.9363
129,108,0.6521,4.5350
1297,332,0.4685,3.5824
1321,276,0.7804,4.0016
134,134,0.8461,4.9265
1344,895,0.5770,4.0333
135,157,0.7936,4.4015
1378,139,0.5450,4.3017
139,2320,0.8399,5.0082
140,579,0.5837,4.2341
142,177,0.4431,3.3251
1423,1158,0.6383,4.0892
1442,151,0.9307,4.4642
149,2084,0.8257,5.1420
158,198,0.8297,4.6702
159,161,0.7208,4.0862
181,131,0.5643,4.3951
186,124,0.8160,4.4504
19,1125,0.6893,4.3914
194,111,0.6690,4.5823
1944,462,0.5632,4.0825
196,150,0.6992,4.8296
1963,103,0.5223,3.6921
1966,902,0.5096,4.0356
197,4488,0.6676,4.3696
200,170,0.6973,4.6442
2007,918,0.4592,3.6610
2008,436,1.1521,3.9953
2068,415,0.5007,3.7536
213,102,0.7237,4.6433
216,767,0.7265,4.6017
2167,466,0.5188,3.8082
2177,155,0.7491,3.9081
218,177,0.7062,4.8014
2196,332,0.6678,3.8101
2328,1027,0.6740,4.1032
2336,503,0.6383,3.6446
235,770,0.7528,4.8157
248,1755,0.8240,4.7712
25,112,0.6248,4.7573
254,796,0.4792,4.5627
257,305,0.5862,4.5902
260,180,0.4182,3.9957
261,756,0.5082,4.4806
2648,512,0.7498,4.0275
266,781,0.6104,4.4122
267,268,0.6357,4.6968
2731,16883,0.7430,4.2077
274,266,0.4427,4.5327
278,313,0.5314,4.6984
280,459,0.5712,4.6848
281,942,0.4825,4.3303
2875,148,0.6254,4.2006
29,220,0.7624,4.7020
2946,1082,0.5906,3.6338
3011,269,0.5505,3.6460
3067,696,0.6021,4.2400
307,996,0.5276,4.9149
308,100,0.5869,4.3733
3088,562,0.5819,3.9377
3089,601,0.5773,4.0206
314,116,0.5427,4.6444
315,1057,0.6466,4.5277
317,423,0.2326,3.0367
318,311,0.2144,3.4504
319,405,0.2411,3.2614
320,421,0.2608,3.4130
321,458,0.2586,3.1009
322,339,0.2595,2.9487
323,421,0.2466,3.0927
324,393,0.2703,3.3600
3240,147,0.7025,4.0257
325,417,0.2605,2.9996
326,376,0.2779,3.6431
327,424,0.2736,3.3228
328,474,0.2332,3.4498
329,423,0.2477,3.6065
3290,580,0.7170,4.2251
33,287,0.7722,5.0037
330,416,0.2685,3.2282
3302,229,0.3566,3.5488
331,388,0.2668,3.3476
3314,107,0.3453,3.0157
332,375,0.2684,3.2706
333,434,0.2412,3.3287
334,396,0.2701,3.0860
335,366,0.2779,3.1684
336,424,0.2439,3.3313
337,366,0.2509,3.0761
338,397,0.3053,2.8770
3386,649,0.7190,4.2610
3389,588,0.6039,4.1852
339,411,0.2399,3.2777
340,409,0.2503,3.4031
341,417,0.2527,3.3692
3418,104,0.5888,3.8685
342,398,0.2375,3.2757
343,423,0.2539,3.5413
344,416,0.2544,3.2499
345,483,0.2872,3.1056
346,405,0.2440,3.4977
347,358,0.2849,3.1288
348,357,0.2470,3.1296
349,425,0.2608,3.4431
3492,432,0.7015,4.2093
350,389,0.2529,3.1036
351,462,0.2349,3.1352
352,502,0.2497,3.3551
353,423,0.2413,3.3390
354,411,0.2616,3.6403
355,420,0.2497,3.3347
356,353,0.2568,3.1666
357,417,0.2579,3.4507
358,403,0.2700,3.3423
359,395,0.2397,3.1820
360,423,0.2114,3.2955
361,467,0.2989,3.5045
362,356,0.2457,3.4175
363,394,0.2717,3.2021
364,422,0.2685,3.2903
365,424,0.2470,3.0435
366,396,0.3095,3.2605
367,454,0.2408,3.3601
368,433,0.2768,2.9318
369,481,0.2542,3.1317
370,396,0.2620,3.1522
3704,108,0.4877,3.8521
371,469,0.2502,3.1496
372,423,0.2177,3.2503
373,419,0.2676,3.4840
374,406,0.2461,3.2505
375,424,0.2487,3.3613
376,424,0.2519,3.6139
377,423,0.2696,3.4406
378,413,0.2619,3.0772
379,424,0.2347,3.5339
380,123,0.2600,3.5052
381,354,0.2710,3.0863
382,348,0.2650,3.2573
383,423,0.2535,3.3154
384,377,0.2758,3.1564
385,422,0.2706,3.0844
386,301,0.2544,3.1830
387,475,0.2651,3.2981
388,379,0.2567,3.1507
3886,553,0.6004,4.5443
389,423,0.2705,2.9608
390,319,0.2494,3.1299
391,231,0.2502,3.2320
392,411,0.2370,3.3273
393,412,0.2535,3.3999
394,335,0.2793,3.0061
3947,1545,0.5620,3.3670
395,462,0.3276,2.9065
3957,107,0.3585,3.7168
396,411,0.2729,3.2181
397,418,0.2633,3.4505
398,492,0.2767,3.3174
3988,827,0.4148,3.9694
399,423,0.2298,3.2761
400,456,0.2588,3.1439
401,422,0.2453,3.3573
402,481,0.2564,3.4489
403,422,0.2522,3.1422
404,379,0.2815,2.9368
405,397,0.2720,3.3602
4056,372,0.5321,3.4492
406,409,0.2556,3.3390
407,405,0.2487,3.7154
408,356,0.2687,3.1846
409,459,0.2918,2.8401
410,345,0.2467,2.9553
411,399,0.2445,3.1404
4113,1390,0.5262,3.8791
412,421,0.2684,3.2515
4128,603,0.6759,3.3397
413,423,0.2753,3.5580
414,372,0.2531,3.2182
415,454,0.2991,3.0679
416,471,0.2697,3.2104
417,364,0.2752,3.3543
4172,500,0.6833,3.5112
418,423,0.2256,3.4648
419,423,0.2707,3.2130
420,466,0.2779,3.2284
421,410,0.2413,3.1203
422,420,0.2353,3.5428
423,422,0.2375,3.5026
4236,642,0.5146,3.7344
424,352,0.2211,3.1596
425,398,0.2307,3.5543
426,2902,0.8394,3.7026
427,2900,0.8290,3.7122
428,2899,0.8199,3.3869
429,2902,0.7407,3.3824
430,550,0.4160,4.0585
4302,290,0.7001,4.2134
431,140,0.4961,4.3220
432,113,0.5952,4.5323
4356,502,0.5315,3.7214
437,302,0.5537,4.0969
438,328,0.5617,4.5125
439,143,0.4603,4.2080
440,187,0.4515,3.8586
4402,806,0.6240,2.9282
4458,240,0.6326,3.4736
4494,218,0.9234,2.9421
4529,167,0.7163,4.2494
4628,199,0.6073,3.9475
4797,809,0.4826,3.7220
4847,611,0.5291,3.7898
49,2346,0.7466,4.6058
5100,388,0.6107,4.1676
5129,1077,0.4301,3.8588
5160,567,0.5960,3.9373
5171,340,0.6769,4.2016
527,171,0.8931,3.7714
53,476,0.6146,4.5837
5357,1140,0.4556,3.8172
5423,141,0.8312,4.8395
552,671,0.6392,3.6132
5632,100,0.7484,4.1066
57,549,0.6851,4.3277
5774,343,0.6328,4.1208
5902,298,0.7821,4.0271
5957,102,0.3521,3.3044
6437,161,0.5581,3.6712
6438,280,0.5313,4.2549
6497,108,0.3837,3.8787
65,1289,0.7099,4.5938
6574,581,0.5241,3.6340
6595,884,0.5106,3.8481
6611,880,0.5738,3.8187
6711,587,0.5649,3.5983
6775,261,0.7717,3.9542
68,141,0.5755,4.3053
6805,492,0.6642,3.8682
6856,114,0.3707,4.1328
6889,151,0.7837,4.2263
6956,202,0.8372,4.1041
7143,435,0.8086,4.1068
7270,147,0.5265,3.7086
7278,187,0.5006,3.6850
7355,561,0.5581,3.8903
7407,116,0.7817,3.8939
7651,128,0.4774,4.2279
7683,362,0.6402,3.7944
7706,131,0.7733,3.9154
7782,125,0.6341,3.8012
7789,478,0.5995,3.7125
7836,800,0.6363,4.1043
7854,869,0.5615,3.8699
7930,136,0.7017,3.8760
7976,565,0.4968,3.6218
8094,577,0.5412,3.7114
8408,162,0.6203,4.2145
8429,580,0.5933,3.4963
852,671,0.6228,3.7625
8627,1089,0.4518,3.8357
8656,254,0.6210,3.8813
8700,156,0.7242,4.4681
8716,109,0.5445,3.9682
8751,358,0.5773,3.8455
884,131,0.8231,4.2302
8849,376,0.4731,3.7363
8924,231,0.6513,4.2681
8956,120,0.7610,3.8139
9173,373,0.3808,3.5124
919,436,0.5155,4.0309
9202,127,0.3998,3.4420
9278,651,0.7294,3.9217
9279,1000,0.6420,3.7548
9339,107,0.4772,3.6307
9433,778,0.5220,3.4119
9434,654,0.6328,3.5259
9551,2390,0.9158,4.2033
9694,107,0.5270,3.8078
9697,1266,0.5145,3.8258
9725,331,0.5654,3.9016
9736,127,0.6067,3.8698
9755,125,0.5112,4.0313
9829,346,0.3981,3.6982
9841,142,0.7807,4.3720
9852,1042,0.3798,3.4330
9864,105,0.6597,3.8918
9929,1039,0.5606,3.8672
9976,118,0.4321,3.2408
